آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,16,8,8,50.0,50.0,1.0,2022-03-17_2022-03-31|2022-09-22_2022-10-06|2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-12-19_2025-01-02|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-07-31_2025-08-14|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12
0.1,1,FOMC,Neutral,16,8,8,50.0,50.0,1.0,2022-03-17_2022-03-31|2022-09-22_2022-10-06|2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-12-19_2025-01-02|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-07-31_2025-08-14|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12
0.2,1,FOMC,Neutral,16,8,8,50.0,50.0,1.0,2022-03-17_2022-03-31|2022-09-22_2022-10-06|2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-12-19_2025-01-02|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-07-31_2025-08-14|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12
0.3,1,FOMC,Neutral,16,8,8,50.0,50.0,1.0,2022-03-17_2022-03-31|2022-09-22_2022-10-06|2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-12-19_2025-01-02|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-07-31_2025-08-14|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12
