آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,20,13,7,65.0,35.0,1.86,2018-05-03_2018-05-12|2018-09-27_2018-10-06|2018-12-20_2018-12-29|2019-01-31_2019-02-09|2019-03-21_2019-03-30|2019-05-02_2019-05-11|2019-08-01_2019-08-10|2019-12-12_2019-12-21|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2021-06-17_2021-06-26|2022-01-27_2022-02-05|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-05-04_2023-05-13|2024-02-01_2024-02-10|2024-06-13_2024-06-22|2025-01-30_2025-02-08|2025-07-31_2025-08-09|2025-09-18_2025-09-27
0.1,1,FOMC,Neutral,20,13,7,65.0,35.0,1.86,2018-05-03_2018-05-12|2018-09-27_2018-10-06|2018-12-20_2018-12-29|2019-01-31_2019-02-09|2019-03-21_2019-03-30|2019-05-02_2019-05-11|2019-08-01_2019-08-10|2019-12-12_2019-12-21|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2021-06-17_2021-06-26|2022-01-27_2022-02-05|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-05-04_2023-05-13|2024-02-01_2024-02-10|2024-06-13_2024-06-22|2025-01-30_2025-02-08|2025-07-31_2025-08-09|2025-09-18_2025-09-27
0.2,1,FOMC,Neutral,20,13,7,65.0,35.0,1.86,2018-05-03_2018-05-12|2018-09-27_2018-10-06|2018-12-20_2018-12-29|2019-01-31_2019-02-09|2019-03-21_2019-03-30|2019-05-02_2019-05-11|2019-08-01_2019-08-10|2019-12-12_2019-12-21|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2021-06-17_2021-06-26|2022-01-27_2022-02-05|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-05-04_2023-05-13|2024-02-01_2024-02-10|2024-06-13_2024-06-22|2025-01-30_2025-02-08|2025-07-31_2025-08-09|2025-09-18_2025-09-27
0.3,1,FOMC,Neutral,20,13,7,65.0,35.0,1.86,2018-05-03_2018-05-12|2018-09-27_2018-10-06|2018-12-20_2018-12-29|2019-01-31_2019-02-09|2019-03-21_2019-03-30|2019-05-02_2019-05-11|2019-08-01_2019-08-10|2019-12-12_2019-12-21|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2021-06-17_2021-06-26|2022-01-27_2022-02-05|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-05-04_2023-05-13|2024-02-01_2024-02-10|2024-06-13_2024-06-22|2025-01-30_2025-02-08|2025-07-31_2025-08-09|2025-09-18_2025-09-27
