آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,21,13,8,61.9,38.1,1.62,2018-02-01_2018-02-10|2018-12-20_2018-12-29|2019-05-02_2019-05-11|2019-06-20_2019-06-29|2020-01-30_2020-02-08|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2020-07-30_2020-08-08|2020-11-06_2020-11-15|2021-01-28_2021-02-06|2021-09-23_2021-10-02|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-02-02_2023-02-11|2023-06-15_2023-06-24|2023-07-27_2023-08-05|2024-03-21_2024-03-30|2024-09-19_2024-09-28|2024-12-19_2024-12-28|2025-12-11_2025-12-20|2026-03-19_2026-03-28
0.1,1,FOMC,Neutral,21,13,8,61.9,38.1,1.62,2018-02-01_2018-02-10|2018-12-20_2018-12-29|2019-05-02_2019-05-11|2019-06-20_2019-06-29|2020-01-30_2020-02-08|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2020-07-30_2020-08-08|2020-11-06_2020-11-15|2021-01-28_2021-02-06|2021-09-23_2021-10-02|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-02-02_2023-02-11|2023-06-15_2023-06-24|2023-07-27_2023-08-05|2024-03-21_2024-03-30|2024-09-19_2024-09-28|2024-12-19_2024-12-28|2025-12-11_2025-12-20|2026-03-19_2026-03-28
0.2,1,FOMC,Neutral,21,13,8,61.9,38.1,1.62,2018-02-01_2018-02-10|2018-12-20_2018-12-29|2019-05-02_2019-05-11|2019-06-20_2019-06-29|2020-01-30_2020-02-08|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2020-07-30_2020-08-08|2020-11-06_2020-11-15|2021-01-28_2021-02-06|2021-09-23_2021-10-02|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-02-02_2023-02-11|2023-06-15_2023-06-24|2023-07-27_2023-08-05|2024-03-21_2024-03-30|2024-09-19_2024-09-28|2024-12-19_2024-12-28|2025-12-11_2025-12-20|2026-03-19_2026-03-28
0.3,1,FOMC,Neutral,21,13,8,61.9,38.1,1.62,2018-02-01_2018-02-10|2018-12-20_2018-12-29|2019-05-02_2019-05-11|2019-06-20_2019-06-29|2020-01-30_2020-02-08|2020-04-30_2020-05-09|2020-06-11_2020-06-20|2020-07-30_2020-08-08|2020-11-06_2020-11-15|2021-01-28_2021-02-06|2021-09-23_2021-10-02|2022-05-05_2022-05-14|2022-12-15_2022-12-24|2023-02-02_2023-02-11|2023-06-15_2023-06-24|2023-07-27_2023-08-05|2024-03-21_2024-03-30|2024-09-19_2024-09-28|2024-12-19_2024-12-28|2025-12-11_2025-12-20|2026-03-19_2026-03-28
