گروه,رتبه,نام_استراتژی,تعداد_تکرار,تعداد_سود,تعداد_ضرر,وین‌ریت_(%),میانگین_بازده_(%),بازه_زمانی_شروع,بازه_زمانی_پایان,تعداد_روز_فعال,تعداد_روز_کل_بازه
BTCUSDT+SOLUSDT+XRPUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-13,2019-03-17,5,5
BTCUSDT+SOLUSDT+XRPUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-13,2019-03-17,5,5
BTCUSDT+SOLUSDT+XRPUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CoreCPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-13,2019-03-17,5,5
BTCUSDT+SOLUSDT+XRPUSDT_None_post_5.0_simple_hybrid_none_trending_down_CorePPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-14,2019-03-18,5,5
BTCUSDT+SOLUSDT+XRPUSDT_None_post_5.0_simple_hybrid_none_trending_down_PPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+SOLUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-14,2019-03-18,5,5
BTCUSDT+XRPUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-13,2019-03-17,5,5
BTCUSDT+XRPUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-13,2019-03-17,5,5
BTCUSDT+XRPUSDT_Core PPI m/m_post_5.0_simple_hybrid_none_trending_down_CoreCPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-13,2019-03-17,5,5
BTCUSDT+XRPUSDT_None_post_5.0_simple_hybrid_none_trending_down_CorePPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-14,2019-03-18,5,5
BTCUSDT+XRPUSDT_None_post_5.0_simple_hybrid_none_trending_down_PPI,1,B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_30m (BTCUSDT+XRPUSDT),1,1,0,100.0,0.51,2019-03-14,2019-03-18,5,5
BTCUSDT_CPI m/m_10_0_simple_hybrid_asia_tokyo_trending_down_fixed,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (BTCUSDT),1,1,0,100.0,0.51,2019-04-01,2019-04-10,10,10
BTCUSDT_CPI m/m_10_0_simple_hybrid_none_trending_down_fixed,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_1h (BTCUSDT),2,1,1,50.0,0.527083333333333,2018-11-12,2019-04-10,20,150
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_asia_tokyo_trending_down_CPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (BTCUSDT),1,1,0,100.0,0.76,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_asia_tokyo_trending_down_CPI_y_y,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (BTCUSDT),1,1,0,100.0,0.76,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_asia_tokyo_trending_down_CoreCPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m (BTCUSDT),1,1,0,100.0,0.76,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_london_ny_overlap_trending_down_CPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h (BTCUSDT),1,1,0,100.0,0.74,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_london_ny_overlap_trending_down_CPI_y_y,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h (BTCUSDT),1,1,0,100.0,0.74,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_london_ny_overlap_trending_down_CoreCPI,1,B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h (BTCUSDT),1,1,0,100.0,0.74,2019-03-13,2019-03-17,5,5
BTCUSDT_Core PPI m/m_post_5.0_simple_hybrid_newyork_trending_down_CPI,1,B4Touch_TLpP5-mT3-pR001_LadLine_BufOn_1h (BTCUSDT),1,1,0,100.0,0.98,2019-03-13,2019-03-17,5,5
