coin_composition,signature,members,survival_rate,compensation_ratio,avg_return,avg_correlation,score,sample_count,بازه_زمانی_شروع,بازه_زمانی_پایان,تعداد_روز_فعال,تعداد_روز_کل_بازه,ریسک_به_ریوارد_کلی,ریسک_به_ریوارد_ماه‌های_سوده,ریسک_به_ریوارد_ماه‌های_ضررده,میانگین_سود_ماهانه,انحراف_معیار_سود_ماهانه,بهترین_ماه_درصد,بدترین_ماه_درصد,درصد_ماه‌های_سودده,میانگین_سود_در_ماه‌های_سودده,میانگین_ضرر_در_ماه‌های_ضررده,بیشترین_ضرر_متوالی_ماهانه,میانگین_تعداد_دوره_در_ماه,انحراف_معیار_تعداد_دوره,حداکثر_افت_سرمایه_درصد,مدت_بازگشت_از_افت_ماه,حداکثر_ضرر_متوالی_درصد
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_30m']",54.166666666666664,1.5705521472392632,1.4140624999999998,-0.014176679553608216,51.333333333333336,24,2019-01-15,2026-02-27,791,2601,3.2694741966893845,0.0,0.0,1.8854166666666663,4.901940147548206,18.950000000000003,-5.150000000000001,54.166666666666664,4.6961538461538455,-1.436363636363637,3,1.0,0.0,9.350000000000003,2,-8.450000000000003
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadFib_BufOff_5m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_30m']",54.166666666666664,1.5705521472392632,1.4140624999999998,-0.014176679553608216,51.333333333333336,24,2019-01-15,2026-02-27,791,2601,3.2694741966893845,0.0,0.0,1.8854166666666663,4.901940147548206,18.950000000000003,-5.150000000000001,54.166666666666664,4.6961538461538455,-1.436363636363637,3,1.0,0.0,9.350000000000003,2,-8.450000000000003
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadFib_BufOff_5m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_1h']",54.166666666666664,1.5705521472392632,1.4140624999999998,-0.014176679553608216,51.333333333333336,24,2019-01-15,2026-02-27,791,2601,3.2694741966893845,0.0,0.0,1.8854166666666663,4.901940147548206,18.950000000000003,-5.150000000000001,54.166666666666664,4.6961538461538455,-1.436363636363637,3,1.0,0.0,9.350000000000003,2,-8.450000000000003
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadFib_BufOff_5m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_5m']",54.166666666666664,1.5705521472392632,1.4140624999999998,-0.014176679553608216,51.333333333333336,24,2019-01-15,2026-02-27,791,2601,3.2694741966893845,0.0,0.0,1.8854166666666663,4.901940147548206,18.950000000000003,-5.150000000000001,54.166666666666664,4.6961538461538455,-1.436363636363637,3,1.0,0.0,9.350000000000003,2,-8.450000000000003
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4DvgBull_PP12Macd_1h', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOn_5m']",50.0,0.7331670822942643,0.05454545454545419,-0.017933710689687035,23.333333333333336,22,2019-04-11,2026-02-27,732,2515,1.1159420289855067,0.0,0.0,0.0727272727272723,1.7611364886350322,3.9499999999999993,-2.7,50.0,1.3999999999999995,-1.2545454545454549,5,1.0,0.0,11.200000000000006,0,-7.8500000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOn_5m']",50.0,0.7331670822942643,0.05454545454545419,-0.017933710689687035,23.333333333333336,22,2019-04-11,2026-02-27,732,2515,1.1159420289855067,0.0,0.0,0.0727272727272723,1.7611364886350322,3.9499999999999993,-2.7,50.0,1.3999999999999995,-1.2545454545454549,5,1.0,0.0,11.200000000000006,0,-7.8500000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_ny_overlap_volatile_PPI,"['B4DvgBull_PP12Macd_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOn_5m']",50.0,0.7331670822942643,0.05454545454545419,-0.017933710689687035,23.333333333333336,22,2019-04-11,2026-02-27,732,2515,1.1159420289855067,0.0,0.0,0.0727272727272723,1.7611364886350322,3.9499999999999993,-2.7,50.0,1.3999999999999995,-1.2545454545454549,5,1.0,0.0,11.200000000000006,0,-7.8500000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_volatile_CorePPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOff_30m']",56.25,1.125890736342042,0.8941406249999995,-0.08374737468156329,83.33333333333333,32,2019-01-15,2026-02-27,1044,2601,1.8767489711934144,0.0,0.0,1.1921874999999993,4.478931132842068,20.5,-5.750000000000002,56.25,3.6194444444444436,-1.9285714285714293,3,1.0,0.0,10.350000000000007,5,-7.600000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_volatile_CorePPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOff_1h']",53.125,0.9160756501182029,0.5074218749999992,-0.12999574545499848,58.333333333333336,32,2019-01-15,2026-02-27,1044,2601,1.5388114008489984,0.0,0.0,0.6765624999999991,4.134629217978475,19.2,-5.750000000000002,53.125,2.985294117647058,-1.9400000000000008,3,1.0,0.0,10.350000000000007,10,-7.600000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_volatile_CorePPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOff_30m']",53.125,0.9160756501182029,0.5074218749999992,-0.12999574545499848,58.333333333333336,32,2019-01-15,2026-02-27,1044,2601,1.5388114008489984,0.0,0.0,0.6765624999999991,4.134629217978475,19.2,-5.750000000000002,53.125,2.985294117647058,-1.9400000000000008,3,1.0,0.0,10.350000000000007,10,-7.600000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_volatile_PPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOff_30m']",56.25,1.125890736342042,0.8941406249999995,-0.08374737468156329,83.33333333333333,32,2019-01-15,2026-02-27,1044,2601,1.8767489711934144,0.0,0.0,1.1921874999999993,4.478931132842068,20.5,-5.750000000000002,56.25,3.6194444444444436,-1.9285714285714293,3,1.0,0.0,10.350000000000007,5,-7.600000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_volatile_PPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOff_1h']",53.125,0.9160756501182029,0.5074218749999992,-0.12999574545499848,58.333333333333336,32,2019-01-15,2026-02-27,1044,2601,1.5388114008489984,0.0,0.0,0.6765624999999991,4.134629217978475,19.2,-5.750000000000002,53.125,2.985294117647058,-1.9400000000000008,3,1.0,0.0,10.350000000000007,10,-7.600000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_london_volatile_PPI,"['B4DvgBull_PP12Macd_30m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOff_30m']",53.125,0.9160756501182029,0.5074218749999992,-0.12999574545499848,58.333333333333336,32,2019-01-15,2026-02-27,1044,2601,1.5388114008489984,0.0,0.0,0.6765624999999991,4.134629217978475,19.2,-5.750000000000002,53.125,2.985294117647058,-1.9400000000000008,3,1.0,0.0,10.350000000000007,10,-7.600000000000005
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_5m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m']",65.21739130434783,1.787965616045845,0.9163043478260866,-0.10451349714744523,73.21428571428572,23,2019-01-15,2026-02-27,770,2601,2.07042735042735,0.0,0.0,1.2217391304347824,2.814565447120831,9.700000000000001,-2.45,65.21739130434783,2.523333333333333,-1.2187500000000002,3,1.0,0.0,3.5500000000000007,1,-3.5500000000000007
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_30m']",65.21739130434783,1.787965616045845,0.9163043478260866,-0.10451349714744523,73.21428571428572,23,2019-01-15,2026-02-27,770,2601,2.07042735042735,0.0,0.0,1.2217391304347824,2.814565447120831,9.700000000000001,-2.45,65.21739130434783,2.523333333333333,-1.2187500000000002,3,1.0,0.0,3.5500000000000007,1,-3.5500000000000007
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_5m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",65.21739130434783,1.8911174785100284,1.0304347826086955,-0.09321155065040963,72.85714285714286,23,2019-01-15,2026-02-27,770,2601,2.261880341880341,0.0,0.0,1.3739130434782605,3.0603353041640786,11.4,-2.45,65.21739130434783,2.7566666666666664,-1.2187500000000002,3,1.0,0.0,3.5500000000000007,1,-3.5500000000000007
BTCUSDT,BTCUSDT_None_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",65.21739130434783,1.8911174785100284,1.0304347826086955,-0.09321155065040963,72.85714285714286,23,2019-01-15,2026-02-27,770,2601,2.261880341880341,0.0,0.0,1.3739130434782605,3.0603353041640786,11.4,-2.45,65.21739130434783,2.7566666666666664,-1.2187500000000002,3,1.0,0.0,3.5500000000000007,1,-3.5500000000000007
