شروع,پایان,روز,حالت,coin_composition,signature,members,avg_return,compensation_ratio,survival_rate,avg_correlation,quality_score
2024-01-12,2024-02-15,35,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.7590909090909093,3.96551724137931,72.72727272727273,-0.6512755144413094,98.63547606029837
2024-02-16,2024-03-13,27,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Touch+DvgBull_TLpP5-mT3-pR001_LadFib_BufOn_15m', 'B4Touch_TLpP5-mT3-pR001_LadLine_BufOff_15m']",2.1477272727272725,2.367549668874172,63.63636363636363,-0.2808219178082192,97.10536592986018
2024-03-14,2024-05-13,61,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.914492753623188,2.268196721311474,65.21739130434783,-0.1651619675749374,96.29227524798874
2024-05-14,2024-05-14,1,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_post_10.0_simple_hybrid_none_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m']",2.3405172413793087,2.0628507295173937,68.96551724137932,-0.2007845366683893,96.78434741857377
2024-05-15,2024-06-11,28,تکی-برتر (ادغام بهتر نبود),SOLUSDT+XRPUSDT,SOLUSDT+XRPUSDT_post_10.0_simple_hybrid_none_volatile_CPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_30m']",1.6949999999999994,2.1189710610932475,70.0,-0.6303449656871327,97.78489416542999
2024-06-12,2024-07-11,30,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CPI_y_y,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.59375,3.093959731543624,80.0,-0.5062596541607013,98.07076466453174
2024-07-12,2024-07-31,20,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
2024-08-01,2024-09-10,41,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2024-09-11,2024-09-17,7,تکی-برتر (ادغام بهتر نبود),SOLUSDT+XRPUSDT,SOLUSDT+XRPUSDT_post_10.0_simple_hybrid_none_volatile_CPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_30m']",1.6949999999999994,2.1189710610932475,70.0,-0.6303449656871327,97.78489416542999
2024-09-18,2024-12-18,92,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2024-12-19,2025-01-29,42,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
2025-01-30,2025-04-10,71,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2025-04-11,2025-05-06,26,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
2025-05-07,2025-06-17,42,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2025-06-18,2025-07-14,27,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
2025-07-15,2025-11-24,133,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CPI_y_y,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.59375,3.093959731543624,80.0,-0.5062596541607013,98.07076466453174
2025-11-25,2025-12-09,15,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2025-12-10,2026-01-12,34,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CPI_y_y,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.59375,3.093959731543624,80.0,-0.5062596541607013,98.07076466453174
2026-01-13,2026-01-13,1,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_CorePPI,"['B4Touch+DvgBull_TLpP5-mT3-pR001_LadFib_BufOn_15m', 'B4Touch_TLpP5-mT3-pR001_LadLine_BufOff_15m']",2.1477272727272725,2.367549668874172,63.63636363636363,-0.2808219178082192,97.10536592986018
2026-01-14,2026-01-27,14,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.914492753623188,2.268196721311474,65.21739130434783,-0.1651619675749374,96.29227524798874
2026-01-28,2026-03-17,49,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2026-03-18,2026-04-28,42,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CPI_y_y,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.59375,3.093959731543624,80.0,-0.5062596541607013,98.07076466453174
2026-04-29,2026-06-16,49,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2026-06-17,2026-06-17,1,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
