شروع,پایان,روز,حالت,coin_composition,signature,members,avg_return,compensation_ratio,survival_rate,avg_correlation,quality_score
2019-06-19,2019-06-19,1,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m']",2.1374999999999993,1.5630667765869735,64.28571428571429,-0.292875798471576,94.75044911348904
2019-06-20,2019-07-11,22,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.7879432624113463,2.137608966376089,59.57446808510638,-0.15722029338564406,93.82879012731392
2019-07-12,2019-09-17,68,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_post_10.0_simple_hybrid_none_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m']",2.3405172413793087,2.0628507295173937,68.96551724137932,-0.2007845366683893,96.78434741857377
2019-09-18,2019-10-29,42,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
2019-10-30,2019-11-16,18,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_30_0_simple_hybrid_london_ny_overlap_volatile_fixed,"['B4Ic14-30-57+KijPb_LadFib_BufOn_5m', 'B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadFib_BufOff_15m']",1.4624999999999997,1.9162011173184355,72.72727272727273,-0.3356625372827505,95.8572209638366
2019-11-17,2019-11-30,14,تکی-برتر (ادغام بهتر نبود),ETHUSDT+SOLUSDT,ETHUSDT+SOLUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4DvgBull_PP20Rsi10Lb2Tol12_30m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_5m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_30m']",1.508187134502923,1.5264559068219627,64.91228070175438,-0.1494208290675389,90.65140982582207
2019-12-01,2019-12-06,6,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_none_0_simple_hybrid_none_volatile_none,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_1h']",1.6599999999999995,1.9079754601226984,65.0,-0.0700109845648292,91.45903303913147
2019-12-07,2019-12-10,4,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_10_0_simple_hybrid_none_volatile_fixed,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Touch+DvgBull_TLpP5-mT3-pR001_LadFib_BufOn_1h']",1.424166666666666,1.7678075855689173,60.0,-0.29967442976585285,92.67515426072015
2019-12-11,2020-01-29,50,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CPI_y_y,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.59375,3.093959731543624,80.0,-0.5062596541607013,98.07076466453174
2020-01-30,2020-01-31,2,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4DvgBull_PP20Rsi10Lb2Tol12_30m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.7441025641025645,1.4289661189472154,63.07692307692307,-0.1062899670244889,90.21713660860738
2020-02-01,2020-02-29,29,تکی-برتر (ادغام بهتر نبود),ETHUSDT,ETHUSDT_none_0_simple_hybrid_london_volatile_none,"['B4DvgBull_PP20Rsi10Lb2Tol12_30m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOn_5m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadLine_BufOff_15m']",1.2982905982905977,1.7596803933620146,64.1025641025641,-0.1614456814127358,90.21869874248223
2020-03-01,2020-03-14,14,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4DvgBull_PP20Rsi10Lb2Tol12_30m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.7441025641025645,1.4289661189472154,63.07692307692307,-0.1062899670244889,90.21713660860738
2020-03-15,2020-03-15,1,تکی-برتر (ادغام بهتر نبود),ETHUSDT,ETHUSDT_post_10.0_simple_hybrid_london_ny_overlap_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_1h', 'B4Touch+DvgBull_TLpP5-mT3-pR001_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_30m']",1.4363636363636358,1.5737822349570196,63.63636363636363,-0.19388543274425465,91.40045301882373
2020-03-16,2020-04-28,44,تکی-برتر (ادغام بهتر نبود),ETHUSDT,ETHUSDT_pre_5.0_simple_hybrid_london_ny_overlap_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_5m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",1.8656565656565651,1.7707006369426748,66.66666666666666,-0.20334445713192117,95.06990549090055
2020-04-29,2020-04-29,1,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2020-04-30,2020-05-12,13,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
2020-05-13,2020-06-10,29,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.7590909090909093,3.96551724137931,72.72727272727273,-0.6512755144413094,98.63547606029837
2020-06-11,2020-07-29,49,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
2020-07-30,2020-11-05,99,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2020-11-06,2020-12-10,35,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.914492753623188,2.268196721311474,65.21739130434783,-0.1651619675749374,96.29227524798874
2020-12-11,2020-12-15,5,تکی-برتر (ادغام بهتر نبود),BTCUSDT+ETHUSDT,BTCUSDT+ETHUSDT_post_10.0_simple_hybrid_none_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_1h', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m']",2.3405172413793087,2.0628507295173937,68.96551724137932,-0.2007845366683893,96.78434741857377
2020-12-16,2021-03-16,91,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2021-03-17,2021-04-27,42,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
