آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-09-15_2023-09-29|2023-12-14_2023-12-28
0.1,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-09-15_2023-09-29|2023-12-14_2023-12-28
0.2,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-09-15_2023-09-29|2023-12-14_2023-12-28
0.3,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-09-15_2023-09-29|2023-12-14_2023-12-28
